title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName
Anderson montagens de móveis,3,2,Rua Muniz falcão,Maceió,Alagoas,BR,,+55 82 98879-2835,Móveis de vime,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Anderson%20montagens%20de%20m%C3%B3veis&query_place_id=ChIJ966Lq_I_NQoREtsk-hVlzMI,Móveis de vime
Montador de móveis,5,6,"Estr. Velha do Rosário, 255",Duque de Caxias,Rio de Janeiro,BR,https://www.facebook.com/bbc.montagem,+55 21 97389-7599,Moveleiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis&query_place_id=ChIJx3KynJJ6mQARX_5fUkcU0QE,Moveleiro
Montador de móveis,4.9,18,,,,,,+55 21 96429-7561,Moveleiro,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis&query_place_id=ChIJh-0Sqn16mQARRtR78AfDK3M,Moveleiro
Montador De Móveis,5,1,"R. Eronildes Medeiros Bandeira, 409",Maceió,Alagoas,BR,,+55 82 98861-2142,Loja de móveis,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20De%20M%C3%B3veis&query_place_id=ChIJG_QHUZ9PAQcR-AFZ6prraYU,Loja de móveis
Felipe Montador,4.8,18,R. Humberto Alves Nogueira,São Gonçalo,Rio de Janeiro,BR,,+55 21 99316-1224,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Felipe%20Montador&query_place_id=ChIJvSlox9mFmQARoDXi-P-M-Ao,Marceneiro
"Montador de móveis: São Gonçalo, Niterói, Itaboraí Luíderson Amarante",4.9,40,,,,,,+55 21 97694-0995,Marceneiro,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%3A%20S%C3%A3o%20Gon%C3%A7alo%2C%20Niter%C3%B3i%2C%20Itabora%C3%AD%20Lu%C3%ADderson%20Amarante&query_place_id=ChIJBYcQzHGbrIIRDbhVu1Af77A,Marceneiro
MONTADOR DE MÓVEIS,5,2,"Av. Santa Luzia, 1090 - casa 03",São Gonçalo,Rio de Janeiro,BR,,+55 21 96413-2184,Loja de móveis,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=MONTADOR%20DE%20M%C3%93VEIS&query_place_id=ChIJE7hypIOXmQARnIIU-OQ9H3E,Loja de móveis
Montagem de Móveis,5,4,"Rua Juvenal Assumpção, 17 - Quadra 11",São Gonçalo,Rio de Janeiro,BR,https://osmontadores.com.br/,+55 21 98410-3917,Loja de móveis,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montagem%20de%20M%C3%B3veis&query_place_id=ChIJ9cygNnWbmQARUCwUL66zww8,Loja de móveis
Montador de Móveis - Guilherme Guimarães,5,160,"R. Visc. de Caravelas, 161",São Gonçalo,Rio de Janeiro,BR,,+55 21 99147-5262,Marceneiro,Loja de móveis,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20-%20Guilherme%20Guimar%C3%A3es&query_place_id=ChIJHXqlTOLzMooRpVw6tZVVb24,Marceneiro
Montador de Móveis Profissonal,5,11,"R. Álvaro de Lacerda, 75 - casa 3",São Gonçalo,Rio de Janeiro,BR,http://montadordemoveisprof.org/?utm_source=gmb&utm_medium=referral,+55 21 99045-6510,Loja de móveis,Marceneiro,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Profissonal&query_place_id=ChIJYb5u75ObmQAR6R2XaC6uCNE,Loja de móveis
Montador de moveis,5,2,"Rua Aldeia de Matos, Lote 19 - Quadra 243",São Gonçalo,Rio de Janeiro,BR,,+55 21 98783-9265,Marceneiro,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis&query_place_id=ChIJQQSXE5yXmQARHW1ZKlZbQHk,Marceneiro
Montagem de Moveis em Sao Goncalo - Niteroi - Alex Pontes,5,19,,,,,,+55 21 98034-7138,Loja de móveis,Service establishment,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Montagem%20de%20Moveis%20em%20Sao%20Goncalo%20-%20Niteroi%20-%20Alex%20Pontes&query_place_id=ChIJP-_lDSmXmQARczn-7RqfKc8,Loja de móveis
