title,totalScore,reviewsCount,city,state,phone,url,categoryName
Montador de Móveis em Aracaju e região montagens,5,54,Aracaju,Sergipe,+55 79 99905-7393,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20em%20Aracaju%20e%20regi%C3%A3o%20montagens&query_place_id=ChIJW0QmBfE-HIERSpyDjb6ju78,Marceneiro
Montador de Móveis em Belo Horizonte I RL Montagens. Montagem e Desmontagem de Móveis,5,58,Belo Horizonte,Minas Gerais,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20em%20Belo%20Horizonte%20I%20RL%20Montagens.%20Montagem%20e%20Desmontagem%20de%20M%C3%B3veis&query_place_id=ChIJ53apjT6ztq4RnfKevuphwyE,Moveleiro
Marcílio Montador de Móveis,5,47,Brasília,Distrito Federal,+55 61 99402-0632,https://www.google.com/maps/search/?api=1&query=Marc%C3%ADlio%20Montador%20de%20M%C3%B3veis&query_place_id=ChIJ5dsFx-0eV2cROI1nKElgdl8,Marceneiro
Montador de Móveis em Brasília Shalon,5,140,Brasília,DF,+55 61 98634-3848,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20em%20Bras%C3%ADlia%20Shalon&query_place_id=ChIJgUQoHD7gZSQRh-1V4zKPaBM,Marceneiro
Envelopamento de Moveis Campinas,5,191,Campinas,São Paulo,+55 19 99888-8717,https://www.google.com/maps/search/?api=1&query=Envelopamento%20de%20Moveis%20Campinas&query_place_id=ChIJnytQm7mVyJQRinTcMzfuNTE,Moveleiro
Montador de móveis Ednael campinas,5,16,Campinas,São Paulo,+55 19 99646-2701,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20Ednael%20campinas&query_place_id=ChIJr0UelX38u2gR1RUz4AhNV1I,
Montador de Móveis em Campinas | Leonardo Montagens de Móveis,5,143,Campinas,São Paulo,+55 19 98703-1227,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20em%20Campinas%20%7C%20Leonardo%20Montagens%20de%20M%C3%B3veis&query_place_id=ChIJQ9OsoPPLyJQRaefcs9M0nMA,Marceneiro
MONTADOR DE MÓVEIS LucasRESOLVE,5,212,Campinas,São Paulo,+55 19 98781-1846,https://www.google.com/maps/search/?api=1&query=MONTADOR%20DE%20M%C3%93VEIS%20LucasRESOLVE&query_place_id=ChIJ97Wl82ehtCMR3aNQOv559gA,Moveleiro
JS Montagens - Montador de Móveis em Geral,5,7,Cuiabá,Mato Grosso,+55 65 99292-7098,https://www.google.com/maps/search/?api=1&query=JS%20Montagens%20-%20Montador%20de%20M%C3%B3veis%20em%20Geral&query_place_id=ChIJUaZBMNylnZMRalN33EocFeM,Montadora de estruturas metálicas
Montador de moveis,5,13,Cuiabá,Mato Grosso,+55 65 99316-8480,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis&query_place_id=ChIJW2d2V8alnZMRgSkmFBMuC80,Oficina de conserto de móveis
Montador de Móveis Curitiba,5,227,Curitiba,Paraná,+55 41 99859-0020,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Curitiba&query_place_id=ChIJ96tT6TDn3JQRtNr0sQKySwQ,Marceneiro
Montador de Móveis Curitiba,5,57,Curitiba,Paraná,+55 41 99788-8628,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Curitiba&query_place_id=ChIJm-5QLLPh3JQR6hYUuH9tTik,Marceneiro
Montador de Móveis Curitiba William,5,123,Curitiba,Paraná,+55 41 98833-7281,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Curitiba%20William&query_place_id=ChIJpQ0Dz1X93JQRkeaE4jFMU84,Marceneiro
Montador de Moveis,5,54,Duque de Caxias,Rio de Janeiro,+55 21 96442-5695,https://www.google.com/maps/search/?api=1&query=Montador%20de%20Moveis&query_place_id=ChIJXXkK8hR7mQARXFEoAS8eTzk,
Montador de moveis em duque de caxias RJ,5,19,Duque de Caxias,RJ,+55 21 99018-5212,https://www.google.com/maps/search/?api=1&query=Montador%20de%20moveis%20em%20duque%20de%20caxias%20RJ&query_place_id=ChIJIxFZ6cENmQARF8l4vSpQu7c,
Montador de Móveis Fortaleza - Ms Montagens,5,304,Fortaleza,Ceará,+55 85 99264-7038,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Fortaleza%20-%20Ms%20Montagens&query_place_id=ChIJm8_yTaxRxwcR_50ZAEJJenw,Marceneiro
Cido Montagem de Móveis e Porta Pallet,5,40,Goiânia,Goiás,+55 62 99266-6679,https://www.google.com/maps/search/?api=1&query=Cido%20Montagem%20de%20M%C3%B3veis%20e%20Porta%20Pallet&query_place_id=ChIJ_5JTmBv3XpMRZ0Q9gJU_oKs,Montadora de estruturas metálicas
LKZ Montador de Móveis,5,82,Goiânia,Goiás,+55 62 98417-0894,https://www.google.com/maps/search/?api=1&query=LKZ%20Montador%20de%20M%C3%B3veis&query_place_id=ChIJLx2nhjjzXpMRpcNPnrnJ5s0,Loja de móveis
montador de moveis diego,5,71,Goiânia,GO,+55 62 99559-7046,https://www.google.com/maps/search/?api=1&query=montador%20de%20moveis%20diego&query_place_id=ChIJY8Ts0CTvXpMR-BqtZy4Vi2o,Loja de móveis
MONTADOR DE MÓVEIS - Leandro Amorim,5,36,Guarulhos,São Paulo,+55 11 94585-9514,https://www.google.com/maps/search/?api=1&query=MONTADOR%20DE%20M%C3%93VEIS%20-%20Leandro%20Amorim&query_place_id=ChIJ_TkKWx5dzpQRXHkzO7jOGho,Moveleiro
Montador de Móveis Guarulhos - São Paulo *RAUL*,5,107,Guarulhos,São Paulo,,https://www.google.com/maps/search/?api=1&query=Montador%20de%20M%C3%B3veis%20Guarulhos%20-%20S%C3%A3o%20Paulo%20*RAUL*&query_place_id=ChIJCQaLUQhhzpQRd5PXZju_LWk,Móveis de vime
Montador de móveis H&M,5,65,Jaboatão dos Guararapes,Pernambuco,+55 81 98794-6574,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20H%26M&query_place_id=ChIJzaAstWnhqgcR4r8M-n4qp7M,Moveleiro
Montador de móveis profissional e frente,5,10,Natal,Rio Grande do Norte,+55 84 99685-7181,https://www.google.com/maps/search/?api=1&query=Montador%20de%20m%C3%B3veis%20profissional%20e%20frente&query_place_id=ChIJD9GsZcVVsgcReqFpskgzSAY,Serviço de frete e correio
Chamou Montou Montador Osasco e Barueri,5,139,Osasco,SP,+55 11 98822-9836,https://www.google.com/maps/search/?api=1&query=Chamou%20Montou%20Montador%20Osasco%20e%20Barueri&query_place_id=ChIJk1aBZbIxmCgRztvRYq3VGnI,Marceneiro
contrate,5,1239,Osasco,São Paulo,+55 11 96669-9979,https://www.google.com/maps/search/?api=1&query=contrate&query_place_id=ChIJcSwNjf1VzpQR3LsbY-HrqgI,Marceneiro
