name,city,county,state,rating,reviews,reviews_link,,street_view,logo,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_company_page,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.total_money_raised
Montador de Móveis Natan (Primo's Montagens),Alvorada,Maria Regina,State of Rio Grande do Sul,5,148,https://search.google.com/local/reviews?placeid=ChIJ_6xA4qd1GZUR2BBedMnDy7k&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipPhjBXd5AC20KSzKHavJB6ePJLLelLVScZPQcF9=w1600-h1000-k-no,https://lh3.googleusercontent.com/-0IUrvj_vtrs/AAAAAAAAAAI/AAAAAAAAAAA/BFGyRdcqefk/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
montador de moveis em barra velha,Barra Velha,Vila Nova,State of Santa Catarina,"4,7",14,https://search.google.com/local/reviews?placeid=ChIJ-V3M4ykr2ZQRTJNAEoJdEEU&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer4xaspmbrSVM6k0EyRlsv3l1z1mUP5Yoejvs3qh3G6Kc3DWgCnSP3obKYjHCawggGLlsGL3KpNpozVZBp_-UpnqVxNFC1L6-RE4MAED27NlInDkAhyVfQRfYCFxsjgMG6YBvfV=w1600-h1000-k-no,https://lh4.googleusercontent.com/-DAPZqkqlDOI/AAAAAAAAAAI/AAAAAAAAAAA/5M7JPak2hXY/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Dk montador de móveis,Cachoeirinha,Jardim do Bosque,State of Rio Grande do Sul,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yx_x0EZ_v_VFpsLNQH3c-g&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=278.29047&pitch=0&thumbfov=100,,,,,,,,,,,
Montador de Móveis,Cachoeirinha,Vila Monte Carlo,State of Rio Grande do Sul,"4,9",107,https://search.google.com/local/reviews?placeid=ChIJsddviahzGZURnEUM6JXHJBA&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoz2Ik0juFmja_zgU2pmkFEoV4JUCB1R9XI2ddtYOxGLRuEqPS-ljUOUBd30OpkyqIPtDd4YjlQZc41X3qOC1PswfFuSgWPkjpnwsqQyLWuDph-Q9n6Rp1ggqCLZyrfVAxWaWcCYQ=w1600-h1000-k-no,https://lh5.googleusercontent.com/-JqKItWiDgzM/AAAAAAAAAAI/AAAAAAAAAAA/f81Dq7-UOxM/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de Móveis,Cachoeirinha,Vila Monte Carlo,State of Rio Grande do Sul,"4,9",107,https://search.google.com/local/reviews?placeid=ChIJsddviahzGZURnEUM6JXHJBA&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepmqKmfJ8pa7nLO3NS8VoOA6Y9ZVIeNq2aiu9YmUu_8PwCiwriRZ2pbTmGnXRJ3E3GcIWP3o7kOXchFkvVZjOFHuex4nWfZywIJKvstgv7wX162Sz46gdZtAcBJKNj5C5gzXuJzjQ=w1600-h1000-k-no,https://lh5.googleusercontent.com/-JqKItWiDgzM/AAAAAAAAAAI/AAAAAAAAAAA/f81Dq7-UOxM/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de móveis - Derli,Cachoeirinha,Parque Granja Esperanca,State of Rio Grande do Sul,5,3,https://search.google.com/local/reviews?placeid=ChIJ-TnoZBlzGZUR4DofbL4FnF4&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipOHuuoe8UI7DzqFs9V3UpBHlLi_-rON_k6vOLkH=w1600-h1000-k-no,https://lh5.googleusercontent.com/-8Y-vXJ9eMC0/AAAAAAAAAAI/AAAAAAAAAAA/YA0KL2d88Oc/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de Móveis - Thayson,Cachoeirinha,Jardim Betânia,State of Rio Grande do Sul,5,55,https://search.google.com/local/reviews?placeid=ChIJdaAISFxxGZURSdSXo6LWReM&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer2Ead-V6keSJq1PdDVclydbuc5riGxRPXlMeIKmCgeNW9SM3OyDAvyrE_mSb_oOJd_6gvAs-98mwfjYl503-hzyN27eVLGL8gx3NOdn8sfaMYQM6d9hltxpWng57SNuXu16EbbUJpri9Qf=w1600-h1000-k-no,https://lh3.googleusercontent.com/-sBoo0VtrPr8/AAAAAAAAAAI/AAAAAAAAAAA/ivGUBxs6paA/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador De Móveis | Filipi Montagens,Cachoeirinha,Parque da Matriz,State of Rio Grande do Sul,5,21,https://search.google.com/local/reviews?placeid=ChIJq5RySc51GZURhlO02ytymSQ&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipNfdxq_s1dtSkYHF1qI4KNErPQK0nVFGC9vHf34=w1600-h1000-k-no,https://lh4.googleusercontent.com/-_IqVOkTKMcI/AAAAAAAAAAI/AAAAAAAAAAA/qBcYaEpAEcY/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
Montador de Móveis Cachoeirinha,Cachoeirinha,Jardim Betânia,State of Rio Grande do Sul,,,,,https://lh3.googleusercontent.com/p/AF1QipN5G_mNy7sliWurrWbS9OZXJ67CFXxjpwwfSYu1=w1600-h1000-k-no,https://lh4.googleusercontent.com/-dy-GbcRfQyk/AAAAAAAAAAI/AAAAAAAAAAA/NwxZJbESdhQ/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
MONTT - Montagem de Móveis,Campo Bom,Imigrante Norte,State of Rio Grande do Sul,5,1,https://search.google.com/local/reviews?placeid=ChIJo-gb7wtBGZURbkOeqE--JaY&q=*&authuser=0&hl=en&gl=BR,,https://lh3.googleusercontent.com/p/AF1QipPkMUA_EXu86P8y_Qwzr5WOf0ZwpaLtKOP7oeJv=w1600-h1000-k-no,https://lh6.googleusercontent.com/-IS_yn1IGcqw/AAAAAAAAAAI/AAAAAAAAAAA/82mTuE9aiwA/s44-p-k-no-ns-nd/photo.jpg,,,,,,,,,,
