name,phone,phone.phones_enricher.carrier_name,city,county,state,longitude,h3,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags
Montador de móveis Vila Velha 997494624,+55 27 99749-4624,,Vila Velha,Coqueiral de Itaparica,State of Espírito Santo,"-40,3044754",89a895768d7ffff,America/Sao_Paulo,,FALSE,5,172,https://search.google.com/local/reviews?placeid=ChIJLebFIJQVuAARyZv0IBl_NoY&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis Campo largo,+55 41 99966-8204,TIM,Campo Largo,Jardim Cristo Rei,State of Paraná,"-49,5606427",89a804d0a23ffff,America/Sao_Paulo,,FALSE,"4,8",59,https://search.google.com/local/reviews?placeid=ChIJbWrxNCQX3ZQResSGfNt9P-I&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis Erick Acunha,+55 51 98053-0829,,Porto Alegre,Jardim Carvalho,State of Rio Grande do Sul,"-51,1481257",89a90129ed7ffff,America/Sao_Paulo,,FALSE,"4,9",73,https://search.google.com/local/reviews?placeid=ChIJX4vxHWh3GZURkp3XyYi1hGE&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis / Canoas,+55 51 98059-9355,VIVO Participacoes SA (VIVO),Canoas,Mathias Velho,State of Rio Grande do Sul,"-51,2035915",89a90e90e57ffff,America/Sao_Paulo,,FALSE,5,20,https://search.google.com/local/reviews?placeid=ChIJQ2iDNTrGYiYR2cdIdQewOOM&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis / Canoas,+55 51 98059-9355,VIVO Participacoes SA (VIVO),Canoas,Mathias Velho,State of Rio Grande do Sul,"-51,2035915",89a90e90e57ffff,America/Sao_Paulo,,FALSE,5,20,https://search.google.com/local/reviews?placeid=ChIJQ2iDNTrGYiYR2cdIdQewOOM&q=*&authuser=0&hl=en&gl=BR,
montador de móveis,+55 51 98110-7364,,Gravataí,Jardim do Cedro,State of Rio Grande do Sul,"-51,0065057",89a90e9865bffff,America/Sao_Paulo,,FALSE,5,1,https://search.google.com/local/reviews?placeid=ChIJ2bTUNAANGZURzG2SsVCSazs&q=*&authuser=0&hl=en&gl=BR,
Lucas Zavalhia - ZF montagem de móveis,+55 51 98152-3768,,Novo Hamburgo,Rincão,State of Rio Grande do Sul,"-51,1543279",89a90e8c61bffff,America/Sao_Paulo,,FALSE,5,54,https://search.google.com/local/reviews?placeid=ChIJZ7SQ8vtDGZURz7czYds-NhU&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis,+55 51 98159-7269,,Cachoeirinha,Vila Monte Carlo,State of Rio Grande do Sul,"-51,0851678",89a90e9a517ffff,America/Sao_Paulo,,FALSE,"4,9",107,https://search.google.com/local/reviews?placeid=ChIJsddviahzGZURnEUM6JXHJBA&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis,+55 51 98159-7269,,Cachoeirinha,Vila Monte Carlo,State of Rio Grande do Sul,"-51,0851678",89a90e9a517ffff,America/Sao_Paulo,,FALSE,"4,9",107,https://search.google.com/local/reviews?placeid=ChIJsddviahzGZURnEUM6JXHJBA&q=*&authuser=0&hl=en&gl=BR,
Lucas Santos- Montador de Móveis,+55 51 98165-8050,,Porto Alegre,Passo d'Areia,State of Rio Grande do Sul,"-51,1635744",89a90129ab7ffff,America/Sao_Paulo,,FALSE,,,,
"MONTADOR DE MOVEIS ,FRETES E CONSTRUCAO CIVIL",+55 51 98182-5500,,Porto Alegre,Cascata,State of Rio Grande do Sul,"-51,198756",89a9012843bffff,America/Sao_Paulo,,FALSE,,,,
"MONTADOR DE MOVEIS ,FRETES E CONSTRUCAO CIVIL",+55 51 98182-5500,,Porto Alegre,Cascata,State of Rio Grande do Sul,"-51,198756",89a9012843bffff,America/Sao_Paulo,,FALSE,,,,
Montador de Móveis Cachoeirinha,+55 51 98200-9249,,Cachoeirinha,Jardim Betânia,State of Rio Grande do Sul,"-51,0878161",89a90e9aeabffff,America/Sao_Paulo,,FALSE,,,,
Montador de Móveis Sul,+55 51 98269-8864,,Porto Alegre,Jardim Itu-Sabará,State of Rio Grande do Sul,"-51,1424404",89a90129a4fffff,America/Sao_Paulo,,FALSE,"4,8",87,https://search.google.com/local/reviews?placeid=ChIJ73doD212GZUR81tTeea5UI0&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis Sul,+55 51 98269-8864,,Porto Alegre,Jardim Itu-Sabará,State of Rio Grande do Sul,"-51,1424404",89a90129a4fffff,America/Sao_Paulo,48XCXVQ5+F2,FALSE,"4,8",87,https://search.google.com/local/reviews?placeid=ChIJ73doD212GZUR81tTeea5UI0&q=*&authuser=0&hl=en&gl=BR,"editing, education, price, agility, speed, profession, competent, cost"
D kaefer montador de móveis,+55 51 98298-6411,,São Leopoldo,Rio dos Sinos,State of Rio Grande do Sul,"-51,1487458",89a90e81e27ffff,America/Sao_Paulo,,FALSE,5,3,https://search.google.com/local/reviews?placeid=ChIJI6mAg-BpGZUR4V-GPagh7Z0&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis - Sapucaia do Sul e Região,+55 51 98458-2861,Brasil Telecom GSM,Sapucaia do Sul,Centro,State of Rio Grande do Sul,"-51,1566603",89a90e83143ffff,America/Sao_Paulo,,FALSE,5,20,https://search.google.com/local/reviews?placeid=ChIJ24NuC7AADGMR9hQ7sF8QL1o&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis Canoas e Região,+55 51 98458-2861,Brasil Telecom GSM,Canoas,Centro,State of Rio Grande do Sul,"-51,1798121",89a90e903cbffff,America/Sao_Paulo,,FALSE,5,58,https://search.google.com/local/reviews?placeid=ChIJJ1OlghxxGZURX0WZE8M2tP8&q=*&authuser=0&hl=en&gl=BR,
